hp,num_heads,horizon,end_time,time,mae,rmse,learning_rate,patience
,1,24,2026-05-20-12:58:42,0.91,3.489542245864868,6.809137960275014,0.0,50
,2,24,2026-05-20-14:09:15,1.12,3.5092042783896127,6.909900665283203,0.0,50
